iShares Latin America 40 ETF
Fund Holdings as of,"Aug 31, 2026"
Inception Date,"Oct 25, 2001"
Shares Outstanding,"110,500,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"

Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"GCARSOA1","GRUPO CARSO SERIES A1","Industrials","Equity","26,329,696.82","0.68","26,329,696.82","3,211,416.00","8.20","Mexico","Bolsa Mexicana De Valores","USD","17.03","MXN","-"
"VIV","TELEFONICA BRASIL ADS REPRESENTING","Communication","Equity","25,569,755.00","0.66","25,569,755.00","2,215,750.00","11.54","Brazil","NYSE","USD","1.00","USD","-"
"EC","ECOPETROL ADR REPRESENTING SA","Energy","Equity","24,560,077.70","0.64","24,560,077.70","1,473,310.00","16.67","Colombia","NYSE","USD","1.00","USD","-"
"ISA","INTERCONEXION ELECTRICA SA","Utilities","Equity","23,346,486.32","0.61","23,346,486.32","2,634,071.00","8.86","Colombia","Bolsa De Valores De Colombia","USD","3,220.03","COP","-"
"CENCOSUD","CENCOSUD","Consumer Staples","Equity","15,449,947.79","0.40","15,449,947.79","7,374,625.00","2.10","Chile","Santiago Stock Exchange","USD","933.65","CLP","-"
"COPEC","EMPRESAS COPEC SA","Consumer Discretionary","Equity","15,415,241.62","0.40","15,415,241.62","2,174,073.00","7.09","Chile","Santiago Stock Exchange","USD","933.65","CLP","-"
"BRL","BRL CASH","Cash and/or Derivatives","Cash","9,843,596.63","0.26","9,843,596.63","50,997,705.00","19.30","Brazil","-","USD","5.18","BRL","-"
"XTSLA","BLK CSH FND TREASURY SL AGENCY","Cash and/or Derivatives","Money Market","7,463,970.70","0.19","7,463,970.70","7,463,971.00","1.00","United States","-","USD","1.00","USD","-"
"MXN","MXN CASH","Cash and/or Derivatives","Cash","3,074,431.06","0.08","3,074,431.06","52,363,095.00","5.87","Mexico","-","USD","17.03","MXN","-"
"HBCFT","CASH COLLATERAL USD HBCFT","Cash and/or Derivatives","Cash Collateral and Margins","2,276,000.00","0.06","2,276,000.00","2,276,000.00","100.00","United Kingdom","-","USD","1.00","USD","May 28, 2019"
"HBCFT","CASH COLLATERAL MXN HBCFT","Cash and/or Derivatives","Cash Collateral and Margins","1,746,321.59","0.05","1,746,321.59","29,743,000.00","5.87","Mexico","-","USD","17.03","MXN","Feb 19, 2019"
"CLP","CLP CASH","Cash and/or Derivatives","Cash","364,975.65","0.01","364,975.65","340,757,687.00","0.11","Chile","-","USD","933.65","CLP","-"
"COP","COP CASH","Cash and/or Derivatives","Cash","652.97","0.00","652.97","2,102,597.00","0.03","Colombia","-","USD","3,220.03","COP","-"
"ISU6","MEXICAN BOLSA INDEX FUTURE SEP 26","Cash and/or Derivatives","Futures","0.00","0.00","20,260,900.20","527.00","3,844.57","-","Mercado Mexicano De Derivados","USD","17.03","MXN","-"
"MCBU6","BCLEAR MSCI BRAZIL INDEX SEP 26","Cash and/or Derivatives","Futures","0.00","0.00","32,299,410.00","429.00","752.90","-","IFLL","USD","1.00","USD","-"
"MXN","MXN/USD","Cash and/or Derivatives","FX","-333.63","0.00","-333.63","8,683,571.00","1.00","United States","-","USD","17.03","USD","-"
"BRL","BRL/USD","Cash and/or Derivatives","FX","-2,188.49","0.00","-2,188.49","-2,641,067.00","1.00","United States","-","USD","5.18","USD","-"

