Rating,Industry,Sector,Revenue,cada_hora,empleador,sueldo_min,sueldo_max,sueldo_promedio,titulo,senioridad,python_yn,r_yn,spark_yn,aws_yn,excel_yn,len_desc,compania,estado,HQ,tamano,ano,org,num_comps
3.8,Financial Transaction Processing,Finance,$50 to $100 million (USD),0,0,107,172,139.5,cientifico de datos,senior,0,0,0,0,0,2933,Bill.com,CA,1,501-1000 ,14,publico,-1
3.8,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),0,0,49,85,67.0,cientifico de datos,na,0,0,0,0,0,4945,Pacific Northwest National Laboratory,WA,1,1001-5000 ,55,gubernamental,3
3.8,Sporting Goods Stores,Retail,$5 to $10 billion (USD),0,0,61,109,85.0,cientifico de datos,na,1,0,0,0,0,2493,DICK'S Sporting Goods - Corporate,PA,1,10000+ ,72,publico,3
2.8,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $5 million (USD),0,0,88,148,118.0,cientifico de datos,na,1,0,0,0,1,1939,Berg Health,MA,1,51-200 ,14,privado,-1
4.7,Computer Hardware & Software,Information Technology,$25 to $50 million (USD),0,0,60,99,79.5,cientifico de datos,na,1,0,0,0,1,3081,Oversight Systems,GA,1,51-200 ,17,privado,-1
3.1,Advertising & Marketing,Business Services,$100 to $500 million (USD),0,0,41,72,56.5,cientifico de datos,na,1,0,0,0,0,8397,C Space,MA,1,201-500 ,21,publico,4
3.2,Staffing & Outsourcing,Business Services,$5 to $10 million (USD),0,0,96,161,128.5,cientifico de datos,na,1,0,1,1,0,2306,"Numeric, LLC",PA,0,1-50 ,-1,privado,-1
4.0,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,0,0,65,130,97.5,na,na,0,0,0,0,0,2291,HP Inc.,WA,0,10000+ ,81,publico,-1
4.4,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,0,0,52,81,66.5,asesor,na,1,0,0,0,0,1886,SpringML,IN,0,1-50 ,5,privado,-1
3.6,Wholesale,Business Services,$10+ billion (USD),0,0,139,220,179.5,director,na,1,0,0,0,1,2903,Grainger,IL,1,10000+ ,93,publico,-1
