ID_MES,ID_PAIS,ID_CONTINENTE,ID_OCM,NUMERO_VISITANTES
1,137,4,3,300
1,137,4,4,211
1,137,4,5,266
1,137,4,6,430
1,138,5,1,61
1,138,5,2,87
1,138,5,3,0
1,138,5,4,1
1,138,5,5,1
1,138,5,6,7
1,139,5,1,12
1,139,5,2,1
1,139,5,3,0
1,139,5,4,0
1,139,5,5,0
1,139,5,6,0
1,140,2,1,7998
1,140,2,2,29
1,140,2,3,12
1,140,2,4,1
1,140,2,5,7
1,140,2,6,220
1,141,7,1,3
1,141,7,2,0
1,141,7,3,0
1,141,7,4,0
1,141,7,5,0
1,141,7,6,0
1,142,3,1,3251
1,142,3,2,315
1,142,3,3,557
1,142,3,4,192
1,142,3,5,24
1,142,3,6,50
1,143,4,1,2957
1,143,4,2,59
1,143,4,3,449
1,143,4,4,267
1,143,4,5,73
1,143,4,6,202
1,144,4,1,2282
1,144,4,2,41
1,144,4,3,457
1,144,4,4,165
1,144,4,5,95
1,144,4,6,223
1,145,2,1,332
1,145,2,2,1
1,145,2,3,0
1,145,2,4,0
1,145,2,5,3
1,145,2,6,3
1,146,4,1,14199
1,146,4,2,180
1,146,4,3,458
1,146,4,4,427
1,146,4,5,504
1,146,4,6,1786
1,147,6,1,0
1,147,6,2,0
1,147,6,3,0
1,147,6,4,0
1,147,6,5,0
1,147,6,6,0
1,148,4,1,1524
1,148,4,2,46
1,148,4,3,90
1,148,4,4,48
1,148,4,5,53
1,148,4,6,71
1,149,2,1,2863
1,149,2,2,117
1,149,2,3,10
1,149,2,4,4
1,149,2,5,181
1,149,2,6,49
1,150,4,1,3
1,150,4,2,1
1,150,4,3,0
1,150,4,4,0
1,150,4,5,1
1,150,4,6,0
1,151,11,1,523
1,151,11,2,9
1,151,11,3,4
1,151,11,4,3
1,151,11,5,10
1,151,11,6,49
1,152,4,1,0
1,152,4,2,0
1,152,4,3,0
1,152,4,4,0
1,152,4,5,0
1,152,4,6,0
1,153,4,1,1158
1,153,4,2,24
1,153,4,3,43
1,153,4,4,15
1,153,4,5,27
1,153,4,6,124
1,154,4,1,4171
1,154,4,2,98
1,154,4,3,166
1,154,4,4,72
1,154,4,5,91
1,154,4,6,347
1,155,6,1,0
1,155,6,2,0
1,155,6,3,0
1,155,6,4,0
1,155,6,5,0
1,155,6,6,0
1,156,2,1,9
1,156,2,2,0
1,156,2,3,0
1,156,2,4,0
1,156,2,5,0
1,156,2,6,0
1,157,7,1,18
1,157,7,2,0
1,157,7,3,0
1,157,7,4,0
1,157,7,5,0
1,157,7,6,0
1,158,7,1,1
1,158,7,2,0
1,158,7,3,0
1,158,7,4,0
1,158,7,5,0
1,158,7,6,0
1,159,4,1,6
1,159,4,2,0
1,159,4,3,1
1,159,4,4,0
1,159,4,5,0
1,159,4,6,0
1,160,2,1,4
1,160,2,2,0
1,160,2,3,0
1,160,2,4,0
1,160,2,5,0
1,160,2,6,0
1,161,2,1,9
1,161,2,2,0
1,161,2,3,0
1,161,2,4,0
1,161,2,5,0
1,161,2,6,1
1,162,6,1,13
1,162,6,2,0
1,162,6,3,0
1,162,6,4,0
1,162,6,5,0
1,162,6,6,3
1,163,6,1,0
1,163,6,2,0
1,163,6,3,0
1,163,6,4,0
1,163,6,5,0
1,163,6,6,0
1,164,6,1,1
1,164,6,2,0
1,164,6,3,0
1,164,6,4,0
1,164,6,5,0
1,164,6,6,0
1,165,5,1,0
1,165,5,2,0
1,165,5,3,0
1,165,5,4,0
1,165,5,5,0
1,165,5,6,0
1,166,5,1,394
1,166,5,2,17
1,166,5,3,9
1,166,5,4,11
1,166,5,5,4
1,166,5,6,161
1,167,5,1,11
1,167,5,2,0
1,167,5,3,0
1,167,5,4,0
1,167,5,5,0
1,167,5,6,0
1,168,6,1,1
1,168,6,2,0
1,168,6,3,0
1,168,6,4,0
1,168,6,5,0
1,168,6,6,0
1,169,5,1,20
1,169,5,2,0
1,169,5,3,0
1,169,5,4,0
1,169,5,5,0
1,169,5,6,3
1,170,6,1,1
1,170,6,2,0
1,170,6,3,0
1,170,6,4,0
1,170,6,5,0
1,170,6,6,0
1,171,6,1,617
1,171,6,2,27
1,171,6,3,18
1,171,6,4,7
1,171,6,5,13
1,171,6,6,69
1,172,6,1,5
1,172,6,2,0
1,172,6,3,0
1,172,6,4,0
1,172,6,5,1
1,172,6,6,0
1,173,4,1,3749
1,173,4,2,183
1,173,4,3,169
1,173,4,4,96
1,173,4,5,75
1,173,4,6,250
1,174,4,1,6888
1,174,4,2,185
1,174,4,3,305
1,174,4,4,238
1,174,4,5,207
1,174,4,6,698
1,175,3,1,18
1,175,3,2,1
1,175,3,3,0
1,175,3,4,0
1,175,3,5,0
1,175,3,6,0
1,176,6,1,3
1,176,6,2,0
1,176,6,3,0
1,176,6,4,0
1,176,6,5,0
1,176,6,6,0
1,177,5,1,231
1,177,5,2,5
1,177,5,3,2
1,177,5,4,10
1,177,5,5,3
1,177,5,6,38
1,178,5,1,2319
1,178,5,2,27
1,178,5,3,59
1,178,5,4,39
1,178,5,5,17
1,178,5,6,278
1,179,6,1,4
1,179,6,2,0
1,179,6,3,0
1,179,6,4,0
1,179,6,5,0
1,179,6,6,1
1,180,5,1,3
1,180,5,2,0
1,180,5,3,0
1,180,5,4,0
1,180,5,5,0
1,180,5,6,0
